iteracao,salario_medio,preco_medio,produzidos,consumidos,contratados,demitidos,estoques,capital medio,riqueza media,media_disp_prod_trab,desemprego_percent,base_monetaria,empresas_ativas,produtividade_total,salario_improdutivo,salario_produtivo
41,2059.49,82.863,18857,10962,381,390,411485,874134,5912.87,82.9863,0.238,2.04391e+07,20,24651,1894.67,2265.93
42,2056.31,82.4269,19233,9561,389,381,421157,873745,5928.42,82.8159,0.222,2.04391e+07,20,24651,1883.75,2224.57
43,2050.18,82.3975,19047,10113,387,389,430091,875680,5851.01,82.5812,0.226,2.04391e+07,20,24651,1897.46,2214.62
44,2046.59,82.0952,18855,10517,384,387,438429,879636,5692.79,82.3129,0.232,2.04391e+07,20,24651,1874.13,2222.64
45,2044.14,81.5048,19037,9463,388,384,448003,878612,5733.75,82.0526,0.224,2.04391e+07,20,24651,1885.34,2226.37
46,2066.82,81.3887,19329,9159,390,388,458173,875753,5848.11,81.7514,0.22,2.04391e+07,20,24651,1900.44,2218.13
47,2062.43,80.9215,18770,9400,381,390,467543,874426,5901.2,81.4237,0.238,2.04391e+07,20,24651,1904.03,2242.06
48,2063.3,80.511,19026,10454,384,381,476115,876978,5799.08,81.0245,0.232,2.04391e+07,20,24651,1890.16,2223.79
49,2058.38,79.7019,19185,9055,387,384,486245,873387,5942.75,80.6708,0.226,2.04391e+07,20,24651,1894.48,2235.03
50,2046.49,79.1583,19059,12702,385,387,492602,884034,5516.86,80.1235,0.23,2.04391e+07,20,24651,1884.94,2232.67
51,2044.98,78.7197,19125,9389,390,385,502338,881116,5633.59,79.6971,0.22,2.04391e+07,20,24651,1888.03,2229.16
52,2056.53,78.2828,18950,8258,385,390,513030,873867,5923.53,79.2999,0.23,2.04391e+07,20,24651,1890.53,2257.55
53,2063.83,77.7599,19309,9297,390,385,523042,869646,6092.4,78.8309,0.22,2.04391e+07,20,24651,1905.4,2215.9
54,2055,77.2673,19080,9252,386,390,532870,865835,6244.83,78.3379,0.228,2.04391e+07,20,24651,1895.56,2202.08
55,2058.19,76.3711,18898,12788,383,386,538980,875085,5874.83,77.6449,0.234,2.04391e+07,20,24651,1895.07,2240.57
56,2046.51,75.5343,18758,10804,382,383,546934,876767,5807.54,77.0437,0.236,2.04391e+07,20,24651,1904.94,2223.39
57,2056.25,74.4707,19122,10902,388,382,555154,877863,5763.71,76.4305,0.224,2.04391e+07,20,24651,1890.71,2226.9
58,2059.86,74.1503,19165,10546,387,388,563773,877120,5793.43,75.792,0.226,2.04391e+07,20,24651,1890.86,2263.2
59,2061.39,72.9272,19160,10706,387,387,572227,876612,5813.76,75.162,0.226,2.04391e+07,20,24651,1885.17,2243.49
60,2063.59,73.0068,19000,10126,383,387,581101,874028,5917.09,74.502,0.234,2.04391e+07,20,24651,1890.75,2245
61,2047.15,71.7279,19126,11021,390,383,589206,873662,5931.75,73.8237,0.22,2.04391e+07,20,24651,1890.13,2233.93
62,2061.03,71.109,19082,10831,387,390,597457,872626,5973.18,73.1191,0.226,2.04391e+07,20,24651,1888.75,2209.63
63,2057.2,70.2414,19067,12665,387,387,603859,877380,5783.02,72.2903,0.226,2.04391e+07,20,24651,1901.97,2224.55
64,2060.36,69.2758,18968,10903,385,387,611924,875766,5847.58,71.5749,0.23,2.04391e+07,20,24651,1891.22,2233.9
65,2060.3,68.2801,18967,12472,383,385,618419,879327,5705.13,70.7432,0.234,2.04391e+07,20,24651,1891.59,2246.36
66,2049.23,67.411,18825,11499,384,383,625745,879215,5709.62,69.9663,0.232,2.04391e+07,20,24651,1905.81,2198.17
67,2049.51,66.96,19168,11367,391,384,633546,877287,5786.72,69.1781,0.218,2.04391e+07,20,24651,1892.51,2217.06
68,2060.43,66.2007,18887,11919,379,391,640514,877733,5768.89,68.3542,0.242,2.04391e+07,20,24651,1892.65,2246.36
69,2059.22,65.4191,19058,12346,385,379,647226,878451,5740.19,67.4959,0.23,2.04391e+07,20,24651,1891.94,2244.57
70,2055.15,64.2868,19385,10942,393,385,655669,873436,5940.8,66.7474,0.214,2.04391e+07,20,24651,1892.97,2228.59
71,2055.21,63.5008,18989,12667,384,393,661991,874195,5910.43,65.8556,0.232,2.04391e+07,20,24651,1898.65,2242.6
72,2052.83,62.0144,18761,13435,382,384,667317,876898,5802.29,64.94,0.236,2.04391e+07,20,24651,1896.97,2227.18
73,2049.61,61.3406,19178,14100,389,382,672395,880508,5657.91,63.9458,0.222,2.04391e+07,20,24651,1895.26,2199.72
74,2051.61,60.2906,19099,13938,388,389,677556,882984,5558.85,62.9804,0.224,2.04391e+07,20,24651,1904.35,2219.94
75,2046.06,59.895,18908,14483,386,388,681981,886632,5412.93,61.9592,0.228,2.04391e+07,20,24651,1892.99,2216.26
76,2051.56,58.6461,19031,10733,388,386,690279,878448,5740.28,61.2354,0.224,2.04391e+07,20,24651,1894.69,2230.38
77,2047.89,57.5222,18963,12644,387,388,696598,875521,5857.37,60.3719,0.226,2.04391e+07,20,24651,1900.84,2191.79
78,2043.51,55.9819,18610,16678,379,387,698530,883944,5520.46,59.249,0.242,2.04391e+07,20,24651,1888.31,2235.89
79,2050.41,55.1966,19028,14145,385,379,703413,884021,5517.39,58.2849,0.23,2.04391e+07,20,24651,1893.52,2215.44
