iteracao,salario_medio,preco_medio,produzidos,consumidos,contratados,demitidos,estoques,capital medio,riqueza media,media_disp_prod_trab,desemprego_percent,base_monetaria,empresas_ativas,produtividade_total,salario_improdutivo,salario_produtivo
47,2062.37,80.4752,19311,9587,388,388,471677,847518,5932.01,81.0953,0.224,1.99164e+07,20,24796,1896.45,2243.95
48,2052.26,79.8795,19197,10702,387,388,480172,850469,5813.95,80.6824,0.226,1.99164e+07,20,24796,1891.3,2216.08
49,2055.39,79.5381,18897,10371,380,387,488698,852663,5726.21,80.2446,0.24,1.99164e+07,20,24796,1891.53,2218.21
50,2041.78,78.9547,18975,10491,385,380,497182,854643,5646.98,79.7868,0.23,1.99164e+07,20,24796,1887.92,2219.76
51,2049.45,78.3702,18891,10058,382,385,506015,854938,5635.2,79.3246,0.236,1.99164e+07,20,24796,1878.56,2241.01
52,2045.49,77.5318,19113,10429,387,382,514699,855942,5595.02,78.8294,0.226,1.99164e+07,20,24796,1889.56,2214.8
53,2047.81,77.2734,19197,9619,387,387,524277,853472,5693.82,78.3309,0.226,1.99164e+07,20,24796,1889.27,2217.62
54,2055.29,76.1705,19374,9751,389,387,533900,850960,5794.31,77.8357,0.222,1.99164e+07,20,24796,1890.68,2219.42
55,2041.06,75.4043,18517,12423,375,389,539994,859836,5439.27,77.1585,0.25,1.99164e+07,20,24796,1878.26,2209.6
56,2058.08,75.4631,19973,7467,399,375,552500,846885,5957.31,76.7154,0.202,1.99164e+07,20,24796,1900.18,2233.3
57,2063.58,74.1919,19090,10660,384,399,560930,847266,5942.07,76.1116,0.232,1.99164e+07,20,24796,1894.73,2205.09
58,2054.72,73.4494,19350,10465,390,384,569815,846099,5988.74,75.4831,0.22,1.99164e+07,20,24796,1889.55,2215.82
59,2044.58,72.7276,18868,11099,382,390,577584,847828,5919.58,74.7976,0.236,1.99164e+07,20,24796,1884.79,2186.46
60,2047.91,72.341,19116,11126,386,382,585574,848665,5886.11,74.0841,0.228,1.99164e+07,20,24796,1890.91,2209.6
61,2038.74,71.4046,18811,11247,381,386,593138,850162,5826.25,73.3698,0.238,1.99164e+07,20,24796,1891.92,2196.56
62,2055.25,70.1176,19202,10273,387,381,602067,847024,5951.75,72.7212,0.226,1.99164e+07,20,24796,1889.53,2220.57
63,2044.65,70.0309,19169,11285,387,387,609951,846868,5958,71.9475,0.226,1.99164e+07,20,24796,1892.46,2229.54
64,2060.44,68.907,19643,10302,392,387,619292,842457,6134.44,71.2687,0.216,1.99164e+07,20,24796,1898.95,2203.43
65,2062,68.2013,18867,13447,378,392,624712,849555,5850.5,70.3466,0.244,1.99164e+07,20,24796,1877.6,2240.61
66,2048.95,66.8423,19189,12290,388,378,631611,851217,5784.04,69.5276,0.224,1.99164e+07,20,24796,1890.87,2227.9
67,2056.66,66.0772,19325,12518,388,388,638418,852872,5717.85,68.6635,0.224,1.99164e+07,20,24796,1874.81,2259.3
68,2048.85,65.2221,18941,12689,384,388,644670,855417,5616.02,67.7865,0.232,1.99164e+07,20,24796,1890.73,2201
69,2051.79,65.0681,19204,11345,388,384,652529,852301,5740.67,66.9735,0.224,1.99164e+07,20,24796,1903.44,2237.23
70,2055.71,63.3925,19324,13588,389,388,658265,855678,5605.58,66.0549,0.222,1.99164e+07,20,24796,1901.52,2226.1
71,2052.32,62.5002,19151,12856,385,389,664560,856721,5563.88,65.1583,0.23,1.99164e+07,20,24796,1883.96,2228.82
72,2050.35,62.0365,19009,11608,385,385,671961,853495,5692.92,64.3332,0.23,1.99164e+07,20,24796,1896.35,2204.1
73,2062.27,61.1641,19322,11094,388,385,680189,847575,5929.71,63.5569,0.224,1.99164e+07,20,24796,1898.33,2228.55
74,2052.84,59.9399,18937,14642,382,388,684484,852383,5737.4,62.5386,0.236,1.99164e+07,20,24796,1898.05,2225.3
75,2057.57,58.4571,19148,13955,386,382,689677,854137,5667.24,61.5856,0.228,1.99164e+07,20,24796,1900.17,2213.45
76,2044.48,58.137,18936,13539,384,386,695074,854252,5662.64,60.6248,0.232,1.99164e+07,20,24796,1905.06,2213.39
77,2055.31,56.7122,19209,13232,388,384,701051,852300,5740.72,59.732,0.224,1.99164e+07,20,24796,1878.66,2259.48
78,2059.95,56.0652,19228,12966,386,388,707313,849043,5871,58.8337,0.228,1.99164e+07,20,24796,1895,2246.3
79,2051.27,54.7751,19188,14431,387,386,712070,849317,5860.01,57.8618,0.226,1.99164e+07,20,24796,1890.88,2230.09
80,2043.03,54.1428,18852,17440,382,387,713482,857340,5539.1,56.6733,0.236,1.99164e+07,20,24796,1891.71,2225.47
81,2054.63,52.7638,19183,13897,388,382,718768,854498,5652.8,55.7649,0.224,1.99164e+07,20,24796,1896.3,2233.04
82,2048.99,51.9583,19045,13968,384,388,723845,851823,5759.77,54.8373,0.232,1.99164e+07,20,24796,1883.58,2218.02
83,2043.3,50.9888,19373,14502,389,384,728716,849030,5871.51,53.8962,0.222,1.99164e+07,20,24796,1886.38,2208.34
84,2046.39,49.8497,19148,16536,387,389,731328,850993,5793.01,52.8361,0.226,1.99164e+07,20,24796,1887.63,2207.49
85,2053.52,49.0153,19085,16208,384,387,734205,851555,5770.51,51.7992,0.232,1.99164e+07,20,24796,1881.59,2231.75
86,2038.42,47.5068,19076,18584,386,384,734697,856839,5559.15,50.6586,0.228,1.99164e+07,20,24796,1895.82,2193.64
87,2057.16,46.8749,19270,14607,387,386,739360,851398,5776.79,49.7551,0.226,1.99164e+07,20,24796,1892.43,2217.33
88,2053.01,45.2931,19081,18691,383,387,739750,855101,5628.67,48.6517,0.234,1.99164e+07,20,24796,1877.9,2239.11
89,2054.14,44.9162,19418,15752,392,383,743416,850291,5821.05,47.7022,0.216,1.99164e+07,20,24796,1889.73,2243.79
90,2058.25,43.2581,19131,14834,383,392,747713,843587,6089.23,46.8656,0.234,1.99164e+07,20,24796,1902.58,2244.89
91,2053.85,42.701,19171,18366,385,383,748518,843358,6098.37,45.8031,0.23,1.99164e+07,20,24796,1888.38,2230.61
92,2060.91,41.7221,19279,18809,388,385,748988,842637,6127.24,44.7565,0.224,1.99164e+07,20,24796,1903.18,2229.86
93,2060.33,40.2799,19393,19303,388,388,749078,842240,6143.13,43.7253,0.224,1.99164e+07,20,24796,1882.2,2238.92
94,2055.71,39.4223,19109,20656,386,388,747531,843356,6098.47,42.6334,0.228,1.99164e+07,20,24796,1894.75,2224.58
95,2052.65,37.7184,19011,23465,383,386,743077,848988,5873.19,41.4614,0.234,1.99164e+07,20,24796,1896.14,2262.33
